Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Iran,2023-02-22 00:20:57,32.427908,53.688046,7567161,144817,,,9009.280814308317,,,1.9137560308284705,364,IRN,3298,75
Iraq,2023-02-22 00:20:57,33.223191,43.679291,2465545,25375,,,6129.765221224547,,,1.029184216876999,368,IRQ,0,0
Ireland,2023-02-22 00:20:57,53.1424,-7.6921,1702523,8629,,,34479.41146211792,,,0.5068360309963507,372,IRL,3176,198
Israel,2023-02-22 00:20:57,31.046051,34.851612,4795621,12256,,,55405.21383931981,,,0.2555664845074287,376,ISR,12924,101
Italy,2023-02-22 00:20:57,41.8719,12.5674,25547414,187850,,,42253.79027574224,,,0.7352994710149529,380,ITA,131784,1362
Jamaica,2023-02-22 00:20:57,18.1096,-77.2975,154065,3500,,,5202.857933087732,,,2.271768409437575,388,JAM,922,24
Japan,2023-02-22 00:20:57,36.204824,138.252924,33139504,71817,,,26202.112649296363,,,0.2167111493280044,392,JPN,1020053,6115
Jordan,2023-02-22 00:20:57,31.24,36.51,1746997,14122,,,17122.150632060326,,,0.808358571880776,400,JOR,0,0
Kazakhstan,2023-02-22 00:20:57,48.0196,66.9237,1497449,19068,,,7975.035239139643,,,1.2733655703800264,398,KAZ,1317,3
Kenya,2023-02-22 00:20:57,-0.0236,37.9062,342874,5688,,,637.6524279680797,,,1.658918436510205,404,KEN,88,0
Kiribati,2023-02-22 00:20:57,-3.3704,-168.734,5012,18,,,4261.687328877779,,,0.3591380686352753,296,KIR,21,0
"Korea, North",2023-02-22 00:20:57,40.3399,127.5101,1,6,,,0.0038791542590301,,,600.0,408,PRK,0,0
"Korea, South",2023-02-22 00:20:57,35.907757,127.766922,30458857,33887,,,59409.678909843366,,,0.1112549955502269,410,KOR,424757,628
Kosovo,2023-02-22 00:20:57,42.602636,20.902977,272866,3206,,,15072.421819676243,,,1.1749356827160584,383,XKS,357,4
Kuwait,2023-02-22 00:20:57,29.31166,47.481766,662858,2570,,,15521.560037868545,,,0.3877150158857553,414,KWT,0,0
Kyrgyzstan,2023-02-22 00:20:57,41.20438,74.766098,206611,2991,,,3166.844747494364,,,1.4476479955084676,417,KGZ,20,0
Laos,2023-02-22 00:20:57,19.85627,102.495496,218012,758,,,2996.4995115149964,,,0.3476872832688109,418,LAO,68,0
Latvia,2023-02-22 00:20:57,56.8796,24.6032,975847,6255,,,51736.08128927866,,,0.6409816292922969,428,LVA,701,49
Lebanon,2023-02-22 00:20:57,33.8547,35.8623,1231040,10819,,,18036.04806838883,,,0.8788504029113595,422,LBN,3887,43
Lesotho,2023-02-22 00:20:57,-29.61,28.2336,34790,723,,,1623.9919486596348,,,2.0781833860304686,426,LSO,0,0
Liberia,2023-02-22 00:20:57,6.428055,-9.429499,8065,294,,,159.46055867150076,,,3.6453812771233727,430,LBR,12,0
Libya,2023-02-22 00:20:57,26.3351,17.228331,507171,6437,,,7381.019014341855,,,1.269197174128647,434,LBY,13,0
Liechtenstein,2023-02-22 00:20:57,47.14,9.55,21387,89,,,56079.39795998637,,,0.4161406461869359,438,LIE,44,0
Lithuania,2023-02-22 00:20:57,55.1694,23.8813,1302560,9579,,,47847.93396444392,,,0.7353979855054662,440,LTU,7667,45
Luxembourg,2023-02-22 00:20:57,49.8153,6.1296,315778,1214,,,50445.70398865132,,,0.3844473015852909,442,LUX,1518,10
MS Zaandam,2023-02-22 00:20:57,,,9,2,,,,,,22.22222222222222,8888,,0,0
Madagascar,2023-02-22 00:20:57,-18.766947,46.869107,67852,1421,,,245.03251397140716,,,2.094263986323174,450,MDG,35,2
Malawi,2023-02-22 00:20:57,-13.2543,34.3015,88640,2686,,,463.357075330287,,,3.030234657039711,454,MWI,194,0
Malaysia,2023-02-22 00:20:57,4.210483999999999,101.975766,5041358,36957,,,15576.09315801107,,,0.7330762861911414,458,MYS,6202,25
Maldives,2023-02-22 00:20:57,3.2028,73.2207,185729,311,,,34359.77222861498,,,0.1674482714061886,462,MDV,16,0
Mali,2023-02-22 00:20:57,17.570692,-3.996166,32946,743,,,162.68959589516166,,,2.2552054877678627,466,MLI,142,0
Malta,2023-02-22 00:20:57,35.9375,14.3754,117248,826,,,26554.39270370228,,,0.7044896288209607,470,MLT,354,3
Marshall Islands,2023-02-22 00:20:57,7.1315,171.1845,15598,17,,,26702.9599575437,,,0.108988331837415,584,MHL,44,0
Mauritania,2023-02-22 00:20:57,21.0079,-10.9408,63667,997,,,1369.2829153099367,,,1.5659603876419494,478,MRT,3,0
Mauritius,2023-02-22 00:20:57,-20.348404,57.552152,295161,1044,,,23208.732417180192,,,0.3537052659396058,480,MUS,1072,1
Mexico,2023-02-22 00:20:57,23.6345,-102.5528,7429778,332839,,,5813.948738658607,,,4.479797377525951,484,MEX,87014,942
Micronesia,2023-02-22 00:20:57,7.4256,150.5508,23671,60,,,20797.785880595704,,,0.2534747158970892,583,FSM,995,2
Moldova,2023-02-22 00:20:57,47.4116,28.3699,600916,11964,,,14919.61893790237,,,1.990960467020349,498,MDA,3318,17
Monaco,2023-02-22 00:20:57,43.7333,7.4167,16108,67,,,41045.76495770054,,,0.4159423888750931,492,MCO,63,2
Mongolia,2023-02-22 00:20:57,46.8625,103.8467,1007895,2136,,,30744.515741733805,,,0.2119268376170136,496,MNG,38,0
Montenegro,2023-02-22 00:20:57,42.708678,19.37439,287668,2800,,,45802.48446809391,,,0.97334427186896,499,MNE,1555,5
Morocco,2023-02-22 00:20:57,31.7917,-7.0926,1272400,16296,,,3447.252138534454,,,1.2807293303992455,504,MAR,219,0
Mozambique,2023-02-22 00:20:57,-18.665695,35.529562,233098,2242,,,745.7838932652833,,,0.9618272143047132,508,MOZ,1694,10
Namibia,2023-02-22 00:20:57,-22.9576,18.4904,171059,4090,,,6732.178474219533,,,2.390987904758008,516,NAM,563,7
Nauru,2023-02-22 00:20:57,-0.5228,166.9315,5247,1,,,48430.86579287428,,,0.0190585096245473,520,NRU,626,0
Nepal,2023-02-22 00:20:57,28.1667,84.25,1001135,12020,,,3435.980358589726,,,1.2006372766909557,524,NPL,58,0
Netherlands,2023-02-22 00:20:57,52.3167,5.55,8704407,23707,,,50799.36688179714,,,0.2723562903251192,528,NLD,10079,3
New Zealand,2023-02-22 00:20:57,-40.9006,174.886,2215578,2536,,,45945.0632103426,,,0.1144622306233407,554,NZL,36050,66
Nicaragua,2023-02-22 00:20:57,12.865416,-85.207229,15627,245,,,235.89512592092996,,,1.567799321686824,558,NIC,86,0
Niger,2023-02-22 00:20:57,17.607789,8.081666,9508,315,,,39.27848545332776,,,3.312999579301641,562,NER,2,0
